	Acute Myeloid Leukemia	Adenosquamous Carcinoma of the Pancreas	Adrenocortical Carcinoma	Ampullary Carcinoma	Anaplastic Thyroid Cancer	B-Lymphoblastic Leukemia/Lymphoma	Bladder Squamous Cell Carcinoma	Bladder Urothelial Carcinoma	Breast Ductal Carcinoma In Situ	Breast Neoplasm, NOS	CIC-DUX4 Sarcoma	Cervical Adenocarcinoma	Cervical Squamous Cell Carcinoma	Chondrosarcoma	Colorectal Adenocarcinoma	Cutaneous Squamous Cell Carcinoma	Diffuse Glioma	Embryonal Tumor	Endometrial Carcinoma	Epithelioid Sarcoma	Esophageal Squamous Cell Carcinoma	Esophagogastric Adenocarcinoma	Ewing Sarcoma	Fibrosarcoma	Gestational Trophoblastic Disease	Glassy Cell Carcinoma of the Cervix	Head and Neck Carcinoma, Other	Head and Neck Squamous Cell Carcinoma	Hepatoblastoma	Hepatocellular Carcinoma	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hodgkin Lymphoma	Intracholecystic Papillary Neoplasm	Intraductal Papillary Neoplasm of the Bile Duct	Invasive Breast Carcinoma	Leiomyosarcoma	Liposarcoma	Lung Neuroendocrine Tumor	Mature B-Cell Neoplasms	Mature T and NK Neoplasms	Medullary Thyroid Cancer	Melanoma	Meningothelial Tumor	Merkel Cell Carcinoma	Mixed Cervical Carcinoma	Mucosal Melanoma of the Vulva/Vagina	Myelodysplastic Syndromes	Myeloproliferative Neoplasms	Nerve Sheath Tumor	Neuroblastoma	Non-Cancerous	Non-Hodgkin Lymphoma	Non-Seminomatous Germ Cell Tumor	Non-Small Cell Lung Cancer	Ocular Melanoma	Osteosarcoma	Ovarian Cancer, Other	Ovarian Epithelial Tumor	Ovarian Germ Cell Tumor	Pancreatic Adenocarcinoma	Pancreatic Neuroendocrine Tumor	Pleural Mesothelioma	Poorly Differentiated Thyroid Cancer	Prostate Adenocarcinoma	Prostate Small Cell Carcinoma	Renal Cell Carcinoma	Retinoblastoma	Rhabdoid Cancer	Rhabdomyosarcoma	SMARCA4-deficient undifferentiated tumor	Sarcoma, NOS	Small Bowel Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	Synovial Sarcoma	T-Lymphoblastic Leukemia/Lymphoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Urethral Cancer	Uterine Sarcoma/Mesenchymal	Well-Differentiated Thyroid Cancer
NFYA	0.655744	0.662316	0.65834	0.659227	0.65749	0.654635	0.663494	0.659615	0.657771	0.649645	0.655484	0.662437	0.663229	0.660328	0.659585	0.661068	0.658949	0.660494	0.658533	0.660493	0.661304	0.65932	0.652475	0.658546	0.663675	0.661194	0.666628	0.663534	0.660498	0.655518	0.662655	0.657695	0.661335	0.662122	0.658739	0.660802	0.66156	0.653119	0.657559	0.657934	0.651549	0.659309	0.659033	0.660115	0.659479	0.662775	0.657623	0.655805	0.661659	0.654043	0.661569	0.659009	0.666466	0.658029	0.658691	0.658215	0.658714	0.660282	0.660225	0.659705	0.654397	0.66082	0.662664	0.655597	0.651798	0.661639	0.657969	0.657446	0.657885	0.65471	0.656258	0.653211	0.680228	0.661467	0.653806	0.66116	0.655472	0.662754	0.659651
ARX	0.679276	0.662377	0.674037	0.68265	0.690291	0.669461	0.693147	0.681276	0.617042	0.686424	0.686424	0.675157	0.686756	0.693147	0.662521	0.685088	0.657227	0.628651	0.679707	0.693147	0.667719	0.656652	0.448185	0.66774	0.684563	0.689451	0.531482	0.684177	0.687928	0.677646	0.66774	0.646152	0.679552	0.673449	0.640162	0.691745	0.672602	0.589636	0.652557	0.681149	0.693147	0.678118	0.687182	0.689461	0.693147	0.693147	0.693147	0.66352	0.682048	0.671016	0.691129	0.682471	0.685519	0.649606	0.687648	0.67868	0.693147	0.667509	0.693147	0.679064	0.470371	0.678985	0.693147	0.622842	0.632841	0.664897	0.687928	0.649563	0.656215	0.607777	0.693147	0.656624	0.683662	0.652161	0.678158	0.687899	0.691138	0.691147	0.686961
HOXA11	0.642355	0.662773	0.690302	0.648603	0.666689	0.67209	0.626926	0.644174	0.66525	0.691592	0.689122	0.645012	0.640898	0.639258	0.625511	0.654762	0.662993	0.677699	0.639949	0.6568	0.640895	0.640451	0.680366	0.692306	0.692565	0.624263	0.667723	0.649345	0.66142	0.66687	0.693147	0.679746	0.659623	0.664019	0.668265	0.624901	0.634591	0.647799	0.687847	0.677	0.689701	0.659483	0.685268	0.637692	0.673502	0.679589	0.692306	0.669332	0.630283	0.677604	0.647449	0.66669	0.691389	0.656741	0.638347	0.61975	0.635563	0.662411	0.691592	0.654227	0.636223	0.667019	0.693147	0.650027	0.629785	0.656563	0.689772	0.661116	0.656332	0.652634	0.666262	0.679969	0.673199	0.647908	0.666464	0.656403	0.656481	0.657735	0.660601
MEOX1	0.681643	0.569097	0.688221	0.68728	0.679344	0.677827	0.691261	0.674073	0.690644	0.66824	0.514267	0.642544	0.684766	0.693147	0.686525	0.679002	0.661813	0.60309	0.607949	0.57536	0.650174	0.665817	0.630939	0.691253	0.683134	0.688221	0.685547	0.663	0.690445	0.669766	0.689674	0.682961	0.691544	0.682937	0.674893	0.685014	0.656489	0.690359	0.680897	0.662131	0.693147	0.687582	0.657616	0.581981	0.693147	0.693147	0.689674	0.691734	0.658334	0.691329	0.680263	0.661756	0.693147	0.667909	0.692701	0.677774	0.693147	0.594053	0.67555	0.67294	0.689674	0.684773	0.686851	0.690632	0.685547	0.677452	0.692125	0.574446	0.547281	0.67867	0.685547	0.688221	0.685547	0.576496	0.680884	0.629005	0.685553	0.608285	0.685883
SOX8	0.677	0.687724	0.628031	0.676698	0.692589	0.680772	0.692425	0.687881	0.673261	0.675098	0.553292	0.689533	0.673345	0.650158	0.65748	0.68096	0.672865	0.632825	0.659116	0.691804	0.649056	0.641615	0.614094	0.691804	0.692646	0.693147	0.690675	0.68462	0.687303	0.675761	0.693147	0.691476	0.690012	0.677532	0.666014	0.688759	0.666389	0.671057	0.679459	0.682933	0.687707	0.606159	0.658462	0.678606	0.68593	0.687707	0.689632	0.67343	0.681493	0.683901	0.679923	0.690776	0.61426	0.67687	0.601973	0.655918	0.639092	0.665193	0.681176	0.666474	0.675726	0.674569	0.691804	0.654633	0.6721	0.684729	0.640052	0.593237	0.527236	0.635323	0.690675	0.562607	0.693147	0.564784	0.689484	0.665048	0.691227	0.618476	0.675381
ZNF195	0.657907	0.659907	0.657206	0.658163	0.662394	0.654582	0.662885	0.659592	0.661061	0.653427	0.654352	0.661444	0.662183	0.657361	0.656201	0.661562	0.661482	0.657348	0.658765	0.661866	0.662646	0.659416	0.654926	0.659153	0.657247	0.657471	0.658602	0.662731	0.662729	0.659481	0.659311	0.658334	0.663421	0.660627	0.662346	0.663862	0.664757	0.65207	0.656461	0.657848	0.654215	0.660389	0.659134	0.660035	0.660235	0.66189	0.664467	0.658332	0.661026	0.653164	0.663196	0.656163	0.653645	0.659783	0.661822	0.66192	0.656385	0.661402	0.655091	0.658343	0.649234	0.662	0.663251	0.656776	0.649949	0.660316	0.651893	0.655872	0.655552	0.659576	0.668749	0.659442	0.670194	0.661055	0.655913	0.660608	0.658419	0.657987	0.66479
ZFX	0.66048	0.658138	0.654777	0.659872	0.660593	0.65465	0.667562	0.658476	0.659902	0.660319	0.653138	0.658152	0.65582	0.654278	0.660934	0.65779	0.65684	0.661633	0.657033	0.664659	0.660516	0.660514	0.656921	0.657633	0.663017	0.652232	0.665539	0.663199	0.662511	0.657001	0.656906	0.656878	0.663171	0.662485	0.660372	0.656892	0.658446	0.656687	0.659589	0.658912	0.656483	0.659635	0.65778	0.655967	0.649574	0.664885	0.667997	0.661678	0.657883	0.660357	0.658478	0.658714	0.666038	0.659457	0.661211	0.658469	0.653338	0.659487	0.656333	0.66164	0.663312	0.656493	0.662141	0.657204	0.65024	0.661781	0.660478	0.655466	0.659568	0.655499	0.65616	0.661413	0.673103	0.657992	0.658321	0.665343	0.656939	0.654259	0.66012
YBX2	0.6709	0.680563	0.641852	0.667276	0.657704	0.682033	0.690548	0.674983	0.622127	0.625211	0.692508	0.667607	0.645316	0.681843	0.623711	0.669097	0.677603	0.666792	0.640903	0.649636	0.658346	0.646098	0.639304	0.690975	0.637381	0.63547	0.63237	0.664698	0.638299	0.67154	0.693147	0.676278	0.667412	0.662774	0.62466	0.690679	0.690925	0.633516	0.68144	0.667647	0.664843	0.675329	0.685865	0.670731	0.638299	0.67892	0.685854	0.66251	0.683254	0.67962	0.679582	0.688912	0.624773	0.645869	0.6767	0.668688	0.603506	0.646559	0.623737	0.674732	0.690513	0.671949	0.683591	0.656498	0.632277	0.661664	0.634714	0.658458	0.681476	0.621337	0.688811	0.617606	0.652851	0.63945	0.636578	0.686948	0.678707	0.680301	0.684198
ZNF263	0.658419	0.658531	0.65914	0.660302	0.659586	0.656362	0.663805	0.659489	0.659277	0.655351	0.654226	0.661961	0.662151	0.656966	0.658807	0.662045	0.659158	0.661102	0.658923	0.661013	0.659983	0.659402	0.656775	0.659891	0.660662	0.653212	0.660639	0.662349	0.661756	0.659574	0.652297	0.659576	0.662789	0.659937	0.659285	0.660329	0.66351	0.655303	0.657937	0.659063	0.657319	0.659292	0.660137	0.660405	0.658976	0.660248	0.656489	0.657762	0.659991	0.656724	0.661016	0.659899	0.659721	0.659004	0.660208	0.660881	0.65255	0.660271	0.658867	0.660118	0.657493	0.657151	0.656249	0.658677	0.653575	0.658936	0.658266	0.656602	0.659051	0.65806	0.66304	0.655037	0.675463	0.659377	0.658487	0.660504	0.658502	0.658612	0.659851
DLX6	0.684109	0.660499	0.636387	0.682691	0.691911	0.691787	0.690987	0.66296	0.681779	0.61855	0.657026	0.639548	0.665268	0.630479	0.669091	0.681601	0.670149	0.660067	0.635924	0.693147	0.642668	0.673238	0.646481	0.648054	0.61468	0.635393	0.575563	0.661157	0.637593	0.660251	0.636069	0.680397	0.686765	0.683372	0.675299	0.664728	0.68178	0.610137	0.687892	0.687671	0.625994	0.665265	0.690633	0.656235	0.654548	0.64948	0.691823	0.6862	0.652664	0.628872	0.6856	0.684146	0.680379	0.662059	0.657423	0.639971	0.693147	0.65074	0.640328	0.678631	0.622871	0.685142	0.692432	0.679267	0.603585	0.688531	0.621489	0.684418	0.678813	0.650821	0.691823	0.653234	0.690207	0.652735	0.686479	0.670134	0.64438	0.650656	0.673648
ETV1	0.679537	0.635067	0.63482	0.663031	0.647816	0.685516	0.684963	0.66953	0.673757	0.678836	0.602994	0.668947	0.676022	0.653036	0.670249	0.691026	0.644486	0.658158	0.667807	0.665458	0.673578	0.663422	0.665972	0.656989	0.688818	0.690326	0.692055	0.680656	0.691897	0.652474	0.650566	0.687653	0.653717	0.662736	0.671814	0.646106	0.648151	0.647992	0.679424	0.661659	0.629204	0.63488	0.649637	0.641349	0.69115	0.693147	0.68838	0.671778	0.639781	0.645142	0.655851	0.675115	0.640834	0.654951	0.643167	0.657364	0.655038	0.666685	0.658546	0.657689	0.624817	0.672905	0.644139	0.637536	0.661494	0.666259	0.672404	0.651098	0.646739	0.650402	0.654063	0.623473	0.693147	0.639383	0.681111	0.628288	0.677459	0.666251	0.642948
GTF2IRD1	0.672262	0.661495	0.661872	0.654495	0.658726	0.665081	0.657551	0.65848	0.655917	0.648891	0.660946	0.657166	0.658315	0.659646	0.653719	0.659809	0.656035	0.657931	0.655016	0.654038	0.657428	0.656583	0.651707	0.659246	0.664009	0.655508	0.652054	0.660121	0.660336	0.65864	0.655159	0.68544	0.659739	0.658846	0.655675	0.656999	0.662889	0.65425	0.676935	0.678247	0.652348	0.662456	0.659869	0.658254	0.656879	0.666512	0.661495	0.667231	0.658742	0.65378	0.661241	0.677215	0.655106	0.657383	0.660351	0.657777	0.654263	0.656381	0.661012	0.658523	0.651912	0.655571	0.654549	0.660716	0.65316	0.65387	0.649541	0.66109	0.65607	0.654435	0.659068	0.656043	0.664971	0.657271	0.677461	0.664457	0.658918	0.657743	0.654634
PAX6	0.672541	0.633493	0.64718	0.652537	0.640464	0.672528	0.680231	0.652475	0.662997	0.648339	0.650868	0.65913	0.667042	0.653799	0.665509	0.67447	0.640487	0.666806	0.648648	0.622276	0.667424	0.662981	0.653005	0.674398	0.691308	0.671463	0.691412	0.666449	0.684769	0.653015	0.693147	0.674637	0.655957	0.667228	0.664477	0.645441	0.657048	0.647034	0.688542	0.680539	0.693147	0.681017	0.649318	0.637142	0.631989	0.68757	0.629811	0.666761	0.652564	0.684952	0.674436	0.680692	0.685295	0.666736	0.673348	0.65671	0.689355	0.655347	0.63897	0.655163	0.62682	0.652749	0.646275	0.668474	0.671463	0.655379	0.692421	0.671479	0.655856	0.630794	0.626724	0.586965	0.689675	0.643374	0.666099	0.663675	0.651547	0.647248	0.662767
TEAD3	0.677964	0.662467	0.664471	0.65537	0.655863	0.68354	0.656188	0.651689	0.648642	0.6561	0.662398	0.66427	0.652066	0.657197	0.654812	0.652163	0.656317	0.663733	0.657323	0.656342	0.652239	0.653507	0.658632	0.665478	0.637776	0.65219	0.65581	0.652004	0.649395	0.653889	0.653682	0.686007	0.654934	0.655039	0.649237	0.654273	0.656999	0.669212	0.685421	0.668425	0.672467	0.66282	0.656981	0.652344	0.651947	0.668058	0.682442	0.673677	0.65621	0.659574	0.647159	0.679896	0.666137	0.656489	0.661699	0.652579	0.649635	0.657067	0.655302	0.654434	0.662398	0.654911	0.656342	0.658001	0.654914	0.661658	0.647852	0.657927	0.654926	0.657402	0.657875	0.660524	0.668585	0.655145	0.684349	0.669614	0.649064	0.656345	0.66441
E2F2	0.655166	0.660784	0.649367	0.669441	0.674834	0.631622	0.671693	0.662366	0.656646	0.642977	0.63946	0.654054	0.659048	0.663002	0.659111	0.672145	0.663135	0.656745	0.656507	0.669473	0.65966	0.65995	0.64109	0.6696	0.652905	0.66106	0.666814	0.668661	0.658132	0.66176	0.673404	0.656525	0.666875	0.670848	0.655044	0.667499	0.669952	0.63778	0.636895	0.648241	0.659483	0.663292	0.669869	0.66482	0.651976	0.67223	0.670118	0.64894	0.666907	0.652626	0.676398	0.647423	0.671726	0.658658	0.668164	0.658877	0.658722	0.662132	0.663535	0.668099	0.653551	0.66903	0.686679	0.654461	0.640257	0.671497	0.642336	0.653052	0.651816	0.643394	0.66752	0.652054	0.68181	0.65898	0.634394	0.661975	0.66064	0.655589	0.666748
TFAP2B	0.690931	0.693147	0.693147	0.692336	0.69234	0.682791	0.691642	0.68867	0.564747	0.693147	0.693147	0.681421	0.692867	0.692098	0.686112	0.693147	0.68399	0.650019	0.684519	0.693147	0.685277	0.687631	0.491945	0.693147	0.689593	0.693147	0.693147	0.688156	0.693147	0.68304	0.693147	0.64502	0.692584	0.692252	0.588021	0.638153	0.6795	0.622928	0.686764	0.691014	0.444487	0.645632	0.6795	0.630386	0.693147	0.693147	0.693147	0.682663	0.682955	0.478413	0.687025	0.692584	0.684169	0.681557	0.693147	0.688854	0.693147	0.686771	0.682125	0.690968	0.682125	0.684263	0.528325	0.686854	0.647605	0.690681	0.691642	0.690981	0.526775	0.689001	0.683999	0.693147	0.693147	0.672755	0.690395	0.693147	0.693147	0.691648	0.692103
TFAP2D	0.692868	0.693147	0.693147	0.693147	0.693147	0.691466	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147	0.693147	0.690122	0.692979	0.693147	0.687168	0.690337	0.693147	0.693147	0.678835	0.692259	0.689474	0.693147	0.693147	0.693147	0.693147	0.691385	0.685318	0.689708	0.693147	0.679668	0.693147	0.686834	0.687897	0.687607	0.693147	0.630775	0.692398	0.686758	0.479393	0.691921	0.693147	0.642844	0.693147	0.693147	0.693147	0.689722	0.638293	0.621479	0.692073	0.693147	0.66519	0.649767	0.693147	0.686651	0.693147	0.693147	0.693147	0.691552	0.173732	0.692155	0.693147	0.654209	0.593313	0.693147	0.587263	0.688596	0.693147	0.684143	0.693147	0.693147	0.693147	0.693147	0.692377	0.693147	0.693147	0.693147	0.693147
NFIX	0.662658	0.666417	0.663301	0.655615	0.652165	0.658149	0.665396	0.662738	0.655245	0.651394	0.64512	0.669527	0.661971	0.642503	0.658026	0.66461	0.641016	0.661985	0.659949	0.660773	0.664287	0.65805	0.649973	0.649676	0.690271	0.671274	0.660159	0.663813	0.672577	0.655421	0.662346	0.661304	0.660716	0.662999	0.658167	0.645601	0.648564	0.658291	0.681568	0.680042	0.667254	0.651925	0.648554	0.65344	0.661786	0.671515	0.651735	0.658717	0.648868	0.668514	0.642751	0.687658	0.688599	0.666344	0.657146	0.643022	0.654777	0.659497	0.692602	0.662798	0.679811	0.64734	0.647642	0.634624	0.650421	0.658221	0.677193	0.653159	0.654277	0.650215	0.643931	0.661905	0.681953	0.648115	0.670997	0.650246	0.655841	0.64928	0.654398
PAX7	0.692152	0.587273	0.690746	0.690777	0.692146	0.691531	0.689748	0.67666	0.689542	0.693147	0.685214	0.692576	0.647965	0.683238	0.685957	0.691633	0.671655	0.655955	0.691826	0.688757	0.607654	0.677575	0.42036	0.693147	0.693147	0.693147	0.693147	0.672513	0.693147	0.671741	0.693147	0.692363	0.679576	0.687107	0.661116	0.693147	0.693147	0.681307	0.692017	0.691798	0.3831	0.686899	0.689256	0.674896	0.693147	0.693147	0.693147	0.692664	0.691474	0.648647	0.688473	0.693147	0.680247	0.677655	0.692842	0.649549	0.517827	0.683572	0.693147	0.642007	0.693147	0.679019	0.693147	0.692088	0.690746	0.69131	0.684485	0.688257	0.555355	0.693147	0.688757	0.686931	0.690746	0.546364	0.689667	0.693147	0.691849	0.692449	0.691125
MLXIPL	0.672579	0.632032	0.650596	0.655644	0.681491	0.692111	0.679868	0.661829	0.646596	0.661942	0.651396	0.66369	0.653082	0.668038	0.61518	0.680299	0.679507	0.653759	0.637787	0.686127	0.632546	0.629636	0.646858	0.693147	0.688664	0.672166	0.633216	0.663811	0.580431	0.635539	0.599944	0.687671	0.662822	0.648428	0.648397	0.690548	0.689423	0.637056	0.690364	0.690726	0.678317	0.683485	0.687683	0.667391	0.632598	0.692424	0.635174	0.657362	0.667264	0.683987	0.68043	0.681969	0.640461	0.651827	0.682347	0.671195	0.610221	0.654165	0.685332	0.650122	0.643836	0.686366	0.669361	0.652025	0.649071	0.673428	0.617477	0.655271	0.67057	0.644358	0.690177	0.643026	0.672395	0.654165	0.689217	0.689997	0.671876	0.667979	0.683657
ETV7	0.67787	0.638811	0.683788	0.643525	0.665772	0.646851	0.634668	0.650398	0.639557	0.683257	0.687853	0.649877	0.631251	0.676495	0.638668	0.625077	0.662044	0.682622	0.668247	0.653602	0.652573	0.644557	0.68313	0.688498	0.655903	0.608415	0.654443	0.634726	0.69135	0.67097	0.693147	0.613565	0.64278	0.65096	0.662065	0.688315	0.658774	0.644981	0.683613	0.649842	0.629345	0.676955	0.670004	0.663129	0.639095	0.693147	0.677127	0.67639	0.666717	0.686277	0.658645	0.646158	0.673052	0.65843	0.684443	0.66834	0.673888	0.665241	0.68123	0.645162	0.658278	0.654184	0.650249	0.673042	0.584484	0.65627	0.678639	0.679158	0.677149	0.674854	0.673888	0.693147	0.626551	0.669727	0.683077	0.685883	0.627809	0.660488	0.676857
ZNF207	0.658724	0.660177	0.659582	0.65673	0.658631	0.658393	0.660419	0.658316	0.660842	0.656276	0.657801	0.65992	0.659711	0.658674	0.659094	0.659735	0.658363	0.658135	0.659564	0.658183	0.659578	0.659307	0.657776	0.656639	0.658143	0.660379	0.661603	0.660727	0.660733	0.659018	0.657157	0.657922	0.659338	0.658827	0.660388	0.659666	0.660447	0.657512	0.658665	0.658841	0.659036	0.658828	0.657649	0.658676	0.66011	0.660248	0.662955	0.658022	0.658786	0.658557	0.659506	0.658499	0.6609	0.658816	0.660446	0.658474	0.658451	0.659834	0.657483	0.659055	0.657747	0.657729	0.659014	0.658756	0.657472	0.660258	0.659171	0.658282	0.65831	0.657428	0.659938	0.657384	0.672673	0.658636	0.658999	0.659388	0.65821	0.658827	0.659506
ZNF200	0.657248	0.661109	0.656279	0.66256	0.664326	0.656106	0.664256	0.658896	0.658865	0.655509	0.653991	0.659314	0.660062	0.658642	0.658518	0.659075	0.659725	0.661032	0.65806	0.658434	0.660937	0.659179	0.65786	0.659441	0.652734	0.655356	0.664	0.662405	0.667235	0.660593	0.65286	0.659313	0.661906	0.662047	0.659908	0.658533	0.663046	0.655217	0.658332	0.657009	0.656612	0.658082	0.65952	0.656683	0.651922	0.660442	0.66426	0.658176	0.660054	0.657141	0.663889	0.658858	0.658637	0.659181	0.660431	0.659932	0.652666	0.660578	0.653268	0.661459	0.661511	0.657838	0.660404	0.659579	0.656183	0.662022	0.652776	0.657336	0.656914	0.656531	0.666189	0.654003	0.680956	0.657986	0.657259	0.65999	0.658273	0.656076	0.662592
SCMH1	0.657363	0.660049	0.659424	0.662119	0.660419	0.652177	0.665816	0.658916	0.655587	0.653849	0.662045	0.660849	0.662492	0.656422	0.661924	0.668363	0.65602	0.659575	0.660346	0.661566	0.661694	0.661615	0.656485	0.658527	0.666976	0.66139	0.659043	0.665084	0.652995	0.65976	0.660704	0.659216	0.661169	0.66367	0.658088	0.656325	0.661582	0.651354	0.657326	0.660894	0.65424	0.660128	0.657885	0.659986	0.667467	0.663408	0.654302	0.659775	0.659626	0.656686	0.659637	0.660333	0.66362	0.659373	0.663252	0.65734	0.658854	0.660885	0.66188	0.663047	0.654252	0.659438	0.655048	0.651495	0.64869	0.659474	0.651986	0.657369	0.657371	0.65318	0.657611	0.65669	0.670859	0.660348	0.654855	0.65957	0.659279	0.660002	0.657359
HIVEP2	0.669123	0.661687	0.649384	0.648965	0.655247	0.644454	0.658971	0.653029	0.66453	0.65056	0.689458	0.669602	0.662129	0.641988	0.664142	0.66124	0.654453	0.676116	0.657347	0.660447	0.658305	0.661005	0.681876	0.652089	0.675482	0.653698	0.690432	0.657362	0.671209	0.655142	0.660144	0.666224	0.659881	0.658556	0.659655	0.648493	0.650906	0.662577	0.655587	0.654487	0.648372	0.657759	0.65956	0.654744	0.646482	0.657394	0.653955	0.658343	0.651825	0.658019	0.651148	0.659514	0.676164	0.655651	0.666652	0.65814	0.66206	0.660889	0.676085	0.658039	0.649911	0.65696	0.644889	0.654577	0.643564	0.656871	0.690507	0.674384	0.659558	0.655592	0.647704	0.661612	0.676567	0.660769	0.651433	0.659731	0.647929	0.66189	0.656304
AKAP8L	0.657187	0.662505	0.659815	0.659712	0.657691	0.656771	0.663199	0.659965	0.658973	0.655991	0.660478	0.662092	0.660953	0.659931	0.660383	0.661458	0.659125	0.659138	0.658703	0.659035	0.659649	0.659804	0.655164	0.661176	0.659553	0.662652	0.659008	0.661094	0.660538	0.658618	0.659899	0.656332	0.659594	0.660801	0.658186	0.658337	0.660024	0.65601	0.657231	0.657367	0.655677	0.659771	0.659531	0.659705	0.661915	0.660678	0.660297	0.655197	0.658679	0.657756	0.660717	0.658213	0.657311	0.660009	0.660899	0.658318	0.661946	0.659392	0.658618	0.660324	0.659134	0.659599	0.656688	0.658199	0.654022	0.661319	0.657733	0.658319	0.658054	0.656568	0.658178	0.656386	0.668608	0.658159	0.655496	0.661832	0.657239	0.659029	0.658639
DPF1	0.66831	0.666476	0.652372	0.68177	0.660782	0.665326	0.675478	0.661805	0.657151	0.666367	0.612338	0.658187	0.660136	0.651527	0.671945	0.671646	0.647689	0.662558	0.654669	0.658834	0.660231	0.66834	0.650009	0.658461	0.677644	0.680358	0.663674	0.666662	0.673269	0.659331	0.68588	0.650326	0.659128	0.675119	0.663258	0.65059	0.667075	0.62737	0.661881	0.666631	0.64132	0.659829	0.651216	0.668158	0.651977	0.676237	0.67028	0.663006	0.665435	0.632129	0.660997	0.656006	0.6696	0.658791	0.668768	0.656868	0.685123	0.659664	0.663674	0.670032	0.665725	0.668255	0.664166	0.666238	0.630593	0.672022	0.629585	0.655657	0.650527	0.639956	0.655039	0.618241	0.68614	0.65667	0.660936	0.657852	0.646638	0.65506	0.653178
WIZ	0.65874	0.66172	0.657177	0.656593	0.65809	0.657497	0.664673	0.657735	0.657096	0.669381	0.649214	0.663272	0.662149	0.655853	0.659266	0.663957	0.655067	0.658262	0.657498	0.66207	0.658395	0.659525	0.65266	0.653269	0.666077	0.667258	0.665077	0.662455	0.663343	0.655804	0.666382	0.660099	0.659086	0.662052	0.656723	0.658938	0.661462	0.651836	0.659069	0.661547	0.651768	0.658829	0.657499	0.66506	0.6594	0.669381	0.664083	0.658101	0.664924	0.65278	0.655446	0.660877	0.665727	0.65801	0.664301	0.658374	0.667484	0.658443	0.659306	0.660339	0.655004	0.659585	0.658611	0.654757	0.651346	0.658423	0.656886	0.65281	0.657043	0.651227	0.654455	0.651353	0.677091	0.65752	0.659796	0.657279	0.655387	0.656304	0.657069
ZBTB32	0.662678	0.655724	0.680571	0.677065	0.679643	0.627678	0.649191	0.665454	0.653437	0.662458	0.588584	0.683655	0.674196	0.679649	0.663994	0.674179	0.678274	0.678719	0.660402	0.675778	0.660553	0.664237	0.686845	0.657246	0.689519	0.688552	0.670643	0.67497	0.688578	0.677117	0.669839	0.50493	0.662712	0.681683	0.663199	0.677404	0.688261	0.667879	0.598793	0.552926	0.62952	0.673244	0.682033	0.681433	0.670643	0.688552	0.647654	0.67133	0.681234	0.678621	0.675621	0.534389	0.691922	0.665686	0.684323	0.679554	0.67146	0.67092	0.691383	0.669611	0.65663	0.673163	0.676694	0.659891	0.606608	0.67397	0.66446	0.662172	0.682493	0.660249	0.691383	0.660441	0.68991	0.688857	0.619181	0.677534	0.668622	0.669042	0.675409
LTF	0.636378	0.691501	0.693147	0.680271	0.651778	0.678599	0.682343	0.66598	0.66512	0.693147	0.653272	0.688239	0.686022	0.561752	0.660009	0.66805	0.648087	0.6879	0.654168	0.693147	0.685856	0.668986	0.686385	0.603748	0.693147	0.685322	0.693147	0.673168	0.575716	0.672253	0.693147	0.68907	0.653037	0.667856	0.623362	0.597026	0.5778	0.644536	0.655607	0.663931	0.693147	0.661762	0.66822	0.653454	0.693147	0.68761	0.693147	0.64185	0.641562	0.679896	0.655888	0.622173	0.684652	0.664585	0.6918	0.65545	0.636349	0.657362	0.693147	0.677242	0.690111	0.637706	0.685322	0.637841	0.611447	0.678282	0.688829	0.689471	0.67764	0.692421	0.681138	0.693147	0.693147	0.67319	0.641875	0.642159	0.690124	0.584833	0.615142
NR1H4	0.691834	0.684896	0.693147	0.691095	0.678901	0.677595	0.693147	0.592577	0.690035	0.693147	0.693147	0.690733	0.678444	0.652288	0.638667	0.690733	0.664593	0.686937	0.654374	0.693147	0.688628	0.645393	0.665978	0.693147	0.693147	0.693147	0.693147	0.681293	0.447926	0.493464	0.689355	0.688033	0.584896	0.601633	0.689031	0.687272	0.672665	0.685326	0.683526	0.691361	0.665098	0.669823	0.635167	0.669613	0.693147	0.686252	0.693147	0.688594	0.558258	0.691601	0.683509	0.691092	0.691708	0.667495	0.679843	0.670912	0.683421	0.655174	0.683421	0.66212	0.680773	0.636946	0.675865	0.627555	0.693147	0.462566	0.693147	0.690705	0.688192	0.685726	0.693147	0.693147	0.693147	0.688744	0.690591	0.689355	0.68631	0.6902	0.686802
