	Acute Myeloid Leukemia	Adenosquamous Carcinoma of the Pancreas	Adrenocortical Carcinoma	Ampullary Carcinoma	Anaplastic Thyroid Cancer	B-Lymphoblastic Leukemia/Lymphoma	Bladder Squamous Cell Carcinoma	Bladder Urothelial Carcinoma	Breast Ductal Carcinoma In Situ	Breast Neoplasm, NOS	CIC-DUX4 Sarcoma	Cervical Adenocarcinoma	Cervical Squamous Cell Carcinoma	Chondrosarcoma	Colorectal Adenocarcinoma	Cutaneous Squamous Cell Carcinoma	Diffuse Glioma	Embryonal Tumor	Endometrial Carcinoma	Epithelioid Sarcoma	Esophageal Squamous Cell Carcinoma	Esophagogastric Adenocarcinoma	Ewing Sarcoma	Fibrosarcoma	Gestational Trophoblastic Disease	Glassy Cell Carcinoma of the Cervix	Head and Neck Carcinoma, Other	Head and Neck Squamous Cell Carcinoma	Hepatoblastoma	Hepatocellular Carcinoma	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hodgkin Lymphoma	Intracholecystic Papillary Neoplasm	Intraductal Papillary Neoplasm of the Bile Duct	Invasive Breast Carcinoma	Leiomyosarcoma	Liposarcoma	Lung Neuroendocrine Tumor	Mature B-Cell Neoplasms	Mature T and NK Neoplasms	Medullary Thyroid Cancer	Melanoma	Meningothelial Tumor	Merkel Cell Carcinoma	Mixed Cervical Carcinoma	Mucosal Melanoma of the Vulva/Vagina	Myelodysplastic Syndromes	Myeloproliferative Neoplasms	Nerve Sheath Tumor	Neuroblastoma	Non-Cancerous	Non-Hodgkin Lymphoma	Non-Seminomatous Germ Cell Tumor	Non-Small Cell Lung Cancer	Ocular Melanoma	Osteosarcoma	Ovarian Cancer, Other	Ovarian Epithelial Tumor	Ovarian Germ Cell Tumor	Pancreatic Adenocarcinoma	Pancreatic Neuroendocrine Tumor	Pleural Mesothelioma	Poorly Differentiated Thyroid Cancer	Prostate Adenocarcinoma	Prostate Small Cell Carcinoma	Renal Cell Carcinoma	Retinoblastoma	Rhabdoid Cancer	Rhabdomyosarcoma	SMARCA4-deficient undifferentiated tumor	Sarcoma, NOS	Small Bowel Cancer	Squamous Cell Carcinoma of the Vulva/Vagina	Synovial Sarcoma	T-Lymphoblastic Leukemia/Lymphoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma/High-Grade Spindle Cell Sarcoma	Urethral Cancer	Uterine Sarcoma/Mesenchymal	Well-Differentiated Thyroid Cancer
ZNF841	0.665345	0.651434	0.658742	0.661085	0.657425	0.667288	0.662826	0.655709	0.647253	0.693147	0.647684	0.663779	0.658712	0.647646	0.659365	0.667018	0.652417	0.663246	0.657367	0.662011	0.659232	0.656197	0.657911	0.657336	0.678492	0.656168	0.662317	0.66212	0.657239	0.655073	0.657923	0.678802	0.663504	0.660103	0.656083	0.654682	0.660066	0.649148	0.668114	0.673762	0.649068	0.655121	0.660468	0.660287	0.654122	0.658395	0.661086	0.663342	0.661354	0.656596	0.655838	0.682706	0.658658	0.654265	0.661692	0.658427	0.659314	0.659664	0.661458	0.658073	0.642424	0.654408	0.651695	0.648472	0.647684	0.65593	0.663984	0.659243	0.659985	0.652598	0.647971	0.658848	0.676829	0.664246	0.666879	0.661275	0.656885	0.653573	0.657548
ZNF615	0.661671	0.65651	0.644602	0.664339	0.659266	0.658505	0.685645	0.658193	0.647734	0.655498	0.655994	0.668368	0.663892	0.651218	0.666935	0.673042	0.653812	0.656288	0.663062	0.66086	0.669804	0.663976	0.652234	0.667045	0.657531	0.651399	0.664371	0.673054	0.656649	0.657913	0.655103	0.66762	0.6646	0.664804	0.657375	0.6501	0.65917	0.64571	0.667877	0.672986	0.648264	0.658631	0.659302	0.65688	0.65604	0.6631	0.667648	0.66241	0.652799	0.654922	0.658904	0.673593	0.660029	0.658402	0.658773	0.656502	0.662431	0.661307	0.657225	0.663177	0.651682	0.660689	0.657472	0.633297	0.644207	0.664546	0.654008	0.652122	0.649397	0.653707	0.657324	0.659305	0.686051	0.650577	0.665039	0.66317	0.657623	0.657285	0.661034
ZNF433	0.657205	0.687232	0.638252	0.686576	0.653564	0.663069	0.687163	0.654186	0.635811	0.634727	0.648419	0.671553	0.658927	0.646006	0.667241	0.671329	0.650604	0.654824	0.654698	0.661374	0.667686	0.661492	0.649586	0.689749	0.669347	0.6524	0.651512	0.66776	0.667539	0.667939	0.642199	0.67844	0.665956	0.666403	0.64751	0.644418	0.655014	0.654934	0.67158	0.680494	0.691279	0.658423	0.668511	0.647955	0.65301	0.656665	0.621123	0.657073	0.648509	0.652524	0.654822	0.685896	0.643926	0.6607	0.666343	0.653613	0.693147	0.658451	0.690239	0.663139	0.673726	0.661936	0.667348	0.63864	0.643768	0.671712	0.644035	0.647438	0.650689	0.643652	0.658521	0.68331	0.663162	0.65507	0.674955	0.657764	0.640823	0.656183	0.654124
ZNF460	0.656018	0.653886	0.654269	0.656149	0.66243	0.657653	0.669833	0.657499	0.662273	0.660048	0.647008	0.670427	0.664571	0.649921	0.659506	0.671159	0.661022	0.661906	0.653286	0.680168	0.654391	0.657702	0.664493	0.65912	0.661385	0.642362	0.675863	0.662686	0.664244	0.658327	0.670958	0.649092	0.665284	0.662885	0.659193	0.6598	0.668672	0.644153	0.654558	0.643608	0.653152	0.662477	0.668304	0.66473	0.652552	0.66505	0.658968	0.650319	0.663846	0.654081	0.663998	0.654782	0.662546	0.656484	0.667936	0.662767	0.651277	0.661491	0.661838	0.660671	0.653152	0.661079	0.660685	0.657793	0.632687	0.663008	0.645272	0.663557	0.658344	0.658757	0.647395	0.65017	0.68579	0.674463	0.646534	0.673215	0.659426	0.65684	0.661919
HOXC6	0.681813	0.673487	0.636857	0.655806	0.677191	0.683139	0.671137	0.663565	0.656122	0.690288	0.674922	0.657602	0.656864	0.630608	0.664002	0.666939	0.651102	0.674744	0.667485	0.643951	0.658601	0.659754	0.631824	0.647882	0.66522	0.66671	0.645054	0.665395	0.65482	0.658784	0.693147	0.657226	0.664738	0.670233	0.650836	0.645812	0.636028	0.658948	0.682348	0.676483	0.625857	0.646696	0.648529	0.643807	0.693147	0.655264	0.690594	0.67998	0.641042	0.653049	0.654093	0.673509	0.691841	0.662394	0.666235	0.642565	0.656949	0.660479	0.693147	0.664182	0.644085	0.664156	0.68179	0.637905	0.674339	0.654318	0.653268	0.628964	0.653677	0.639809	0.689698	0.633729	0.660146	0.635189	0.680497	0.66437	0.645739	0.653169	0.664391
ZNF81	0.659878	0.657805	0.665059	0.662481	0.657358	0.657583	0.674687	0.658788	0.657589	0.669721	0.63782	0.6566	0.660421	0.649838	0.65886	0.665881	0.654068	0.663325	0.658723	0.65733	0.661941	0.661455	0.651163	0.656602	0.664364	0.665972	0.668277	0.665673	0.673464	0.656646	0.676272	0.650407	0.665738	0.664448	0.66135	0.659652	0.667071	0.644843	0.655815	0.656718	0.644001	0.657006	0.665853	0.661277	0.672379	0.644654	0.653044	0.660403	0.657555	0.654579	0.659246	0.660328	0.65533	0.660763	0.664476	0.656806	0.649308	0.6621	0.66152	0.662855	0.654742	0.661762	0.661354	0.663765	0.638892	0.663134	0.655796	0.657501	0.658535	0.653157	0.661771	0.656798	0.683146	0.660056	0.651525	0.663773	0.656101	0.657325	0.654712
ZNF780A	0.65741	0.656402	0.661052	0.655482	0.660575	0.663859	0.664979	0.660086	0.656632	0.656643	0.667404	0.655923	0.657535	0.658665	0.6583	0.66362	0.658757	0.660869	0.656562	0.664065	0.659055	0.656038	0.657325	0.664787	0.6535	0.662142	0.670156	0.660368	0.662575	0.657644	0.650773	0.662052	0.656174	0.654881	0.658415	0.657403	0.660067	0.658826	0.658737	0.657031	0.660411	0.656552	0.659609	0.658489	0.662314	0.646295	0.670314	0.658341	0.655094	0.660793	0.661726	0.66061	0.663244	0.657428	0.656802	0.660573	0.652003	0.658803	0.658951	0.656828	0.656015	0.659762	0.648311	0.658431	0.660266	0.661555	0.662196	0.660351	0.659938	0.654829	0.661221	0.658222	0.667909	0.660537	0.656143	0.669298	0.660605	0.656506	0.656322
ZNF461	0.65776	0.65605	0.658393	0.667133	0.661174	0.659751	0.672196	0.657215	0.655604	0.653324	0.670236	0.671865	0.661245	0.655111	0.671849	0.67233	0.655669	0.658399	0.658128	0.648352	0.666256	0.668466	0.654148	0.667883	0.66671	0.657361	0.654768	0.670564	0.666665	0.657891	0.646801	0.670266	0.669568	0.66045	0.658309	0.653764	0.656568	0.648457	0.662821	0.662823	0.649318	0.657931	0.662007	0.656197	0.663	0.654587	0.660862	0.655959	0.655394	0.652996	0.65862	0.672114	0.658455	0.65733	0.657004	0.660842	0.682994	0.65905	0.656938	0.661614	0.65297	0.654465	0.652889	0.655993	0.637714	0.659521	0.656065	0.654461	0.653286	0.650486	0.654116	0.646306	0.672428	0.655422	0.653998	0.668145	0.654901	0.655604	0.664746
ZNF181	0.65898	0.665989	0.652307	0.664629	0.665167	0.655052	0.665934	0.660888	0.662279	0.658739	0.662821	0.654357	0.655438	0.651528	0.662536	0.662918	0.657474	0.658349	0.662628	0.662368	0.662433	0.659774	0.655787	0.664822	0.665531	0.655418	0.657691	0.666602	0.664351	0.662563	0.653072	0.660438	0.659275	0.659701	0.661471	0.656122	0.659508	0.653854	0.661925	0.6579	0.653596	0.661331	0.661176	0.658138	0.652271	0.656036	0.664315	0.657871	0.659633	0.656057	0.661606	0.663487	0.666374	0.661005	0.659199	0.657526	0.651847	0.661125	0.650842	0.661292	0.658492	0.657603	0.657159	0.658405	0.640789	0.662233	0.652702	0.656718	0.656455	0.65453	0.66619	0.650906	0.675056	0.654938	0.655916	0.663614	0.658025	0.662486	0.662991
ZNF44	0.65631	0.655634	0.655558	0.653163	0.659213	0.655346	0.67429	0.659745	0.650046	0.650449	0.662025	0.657935	0.661049	0.650778	0.65794	0.662463	0.655683	0.659883	0.65667	0.651182	0.662806	0.658008	0.662357	0.692366	0.660759	0.65467	0.661714	0.665326	0.652722	0.660216	0.659892	0.679988	0.660325	0.661133	0.657738	0.650051	0.65628	0.657351	0.655538	0.669881	0.655412	0.665757	0.668531	0.656487	0.660571	0.670525	0.665744	0.655124	0.658565	0.656197	0.657805	0.663681	0.651812	0.659901	0.665761	0.658297	0.659698	0.660522	0.659698	0.660107	0.657241	0.658888	0.663138	0.65009	0.651094	0.659739	0.65987	0.658122	0.656833	0.653046	0.643916	0.655093	0.674864	0.660757	0.657329	0.659739	0.650675	0.661318	0.661551
