division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeSubtype	AML with Maturation	1	PBX2	non_specific	503	0.675208	5.87	-0.114
OncotreeSubtype	AML with Maturation	1	CBFB	non_specific	517	0.675301	5.87	-0.114
OncotreeSubtype	AML with Maturation	1	RBCK1	non_specific	740	0.677202	5.85	-0.114
OncotreeSubtype	AML with Maturation	1	KDM5B	non_specific	175	0.671036	5.85	-0.114
OncotreeSubtype	AML with Maturation	1	ZNF384	non_specific	548	0.675557	5.84	-0.114
OncotreeSubtype	AML with Maturation	1	MBD1	non_specific	403	0.674375	5.82	-0.114
OncotreeSubtype	AML with Maturation	1	AEBP1	non_specific	45	0.656345	5.82	-0.114
OncotreeSubtype	AML with Maturation	1	CBX2	non_specific	80	0.664212	5.8	-0.114
OncotreeSubtype	AML with Maturation	1	NFE2L1	non_specific	861	0.67854	5.79	-0.114
OncotreeSubtype	AML with Maturation	1	TFAM	non_specific	501	0.6752	5.77	-0.114
OncotreeSubtype	AML with Maturation	1	PLSCR1	non_specific	486	0.675088	5.76	-0.114
OncotreeSubtype	AML with Maturation	1	MLX	non_specific	532	0.675435	5.76	-0.114
OncotreeSubtype	AML with Maturation	1	CHCHD3	non_specific	768	0.677448	5.75	-0.114
OncotreeSubtype	AML with Maturation	1	ATF6B	non_specific	672	0.676623	5.74	-0.114
OncotreeSubtype	AML with Maturation	1	SOX4	non_specific	172	0.670996	5.73	-0.114
OncotreeSubtype	AML with Maturation	1	CEBPZ	non_specific	591	0.675958	5.73	-0.114
OncotreeSubtype	AML with Maturation	1	TCF3	non_specific	764	0.677419	5.68	-0.114
OncotreeSubtype	AML with Maturation	1	RFX5	non_specific	480	0.675052	5.67	-0.114
OncotreeSubtype	AML with Maturation	1	CENPS	non_specific	301	0.673467	5.66	-0.114
OncotreeSubtype	AML with Maturation	1	ARID1A	non_specific	381	0.674236	5.64	-0.114
