division	group	group_size	tf	category	jsd_rank	cacts_score	group_expr_log2tpm	fdr_log10
OncotreeLineage	Adrenal Gland	1	SOX4	non_specific	272	0.595685	5.78	-0.055
OncotreeLineage	Adrenal Gland	1	E2F4	non_specific	736	0.615999	5.78	-0.055
OncotreeLineage	Adrenal Gland	1	TGIF1	non_specific	804	0.61808	5.77	-0.055
OncotreeLineage	Adrenal Gland	1	ATF6B	non_specific	691	0.615036	5.76	-0.055
OncotreeLineage	Adrenal Gland	1	NFE2L2	non_specific	826	0.618607	5.74	-0.055
OncotreeLineage	Adrenal Gland	1	ID2	non_specific	581	0.611686	5.73	-0.055
OncotreeLineage	Adrenal Gland	1	CEBPZ	non_specific	659	0.614061	5.73	-0.055
OncotreeLineage	Adrenal Gland	1	TBPL1	non_specific	432	0.606203	5.73	-0.055
OncotreeLineage	Adrenal Gland	1	USF2	non_specific	888	0.620358	5.71	-0.055
OncotreeLineage	Adrenal Gland	1	MEIS2	non_specific	151	0.578385	5.68	-0.055
OncotreeLineage	Adrenal Gland	1	DMTF1	non_specific	601	0.612168	5.66	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF32	non_specific	329	0.599924	5.66	-0.055
OncotreeLineage	Adrenal Gland	1	RELA	non_specific	634	0.613212	5.66	-0.055
OncotreeLineage	Adrenal Gland	1	MBD1	non_specific	447	0.60703	5.66	-0.055
OncotreeLineage	Adrenal Gland	1	RERE	non_specific	343	0.600858	5.65	-0.055
OncotreeLineage	Adrenal Gland	1	ERF	non_specific	462	0.60776	5.61	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF639	non_specific	431	0.606183	5.6	-0.055
OncotreeLineage	Adrenal Gland	1	ATF5	non_specific	473	0.608246	5.6	-0.055
OncotreeLineage	Adrenal Gland	1	CREM	non_specific	370	0.602895	5.57	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF655	non_specific	512	0.609294	5.56	-0.055
OncotreeLineage	Adrenal Gland	1	MLX	non_specific	654	0.613931	5.52	-0.055
OncotreeLineage	Adrenal Gland	1	TEAD4	non_specific	287	0.59666	5.51	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF24	non_specific	308	0.598031	5.49	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF511	non_specific	459	0.607517	5.48	-0.055
OncotreeLineage	Adrenal Gland	1	ZNF692	non_specific	507	0.609236	5.47	-0.055
OncotreeLineage	Ampulla of Vater	4	ELF5	specific	1	0.350113	3.13	-6.445
OncotreeLineage	Ampulla of Vater	4	NME2	non_specific	415	0.615124	10.37	-0.039
OncotreeLineage	Ampulla of Vater	4	YBX1	non_specific	574	0.618889	9.2	-0.039
OncotreeLineage	Ampulla of Vater	4	ATF4	non_specific	401	0.614776	9.02	-0.039
OncotreeLineage	Ampulla of Vater	4	HMGA1	non_specific	260	0.609701	8.7	-0.039
OncotreeLineage	Ampulla of Vater	4	PA2G4	non_specific	514	0.617383	7.62	-0.039
OncotreeLineage	Ampulla of Vater	4	DRAP1	non_specific	549	0.618359	7.5	-0.039
OncotreeLineage	Ampulla of Vater	4	YBX3	non_specific	359	0.613603	7.46	-0.039
OncotreeLineage	Ampulla of Vater	4	ZNF207	non_specific	309	0.612008	7.45	-0.039
OncotreeLineage	Ampulla of Vater	4	CENPX	non_specific	249	0.609074	7.24	-0.039
OncotreeLineage	Ampulla of Vater	4	MAZ	non_specific	538	0.618059	7.04	-0.039
OncotreeLineage	Ampulla of Vater	4	NFE2L1	non_specific	400	0.614757	6.95	-0.039
OncotreeLineage	Ampulla of Vater	4	MYC	non_specific	226	0.608042	6.84	-0.039
OncotreeLineage	Ampulla of Vater	4	HIF1A	non_specific	292	0.611396	6.81	-0.039
OncotreeLineage	Ampulla of Vater	4	ID2	non_specific	148	0.600883	6.74	-0.039
OncotreeLineage	Ampulla of Vater	4	PLSCR1	non_specific	155	0.601655	6.7	-0.039
OncotreeLineage	Ampulla of Vater	4	ELF3	non_specific	47	0.571861	6.67	-0.039
OncotreeLineage	Ampulla of Vater	4	GTF2I	non_specific	417	0.615131	6.47	-0.039
OncotreeLineage	Ampulla of Vater	4	ID1	non_specific	301	0.611775	6.46	-0.039
OncotreeLineage	Ampulla of Vater	4	STAT6	non_specific	189	0.605585	6.43	-0.039
OncotreeLineage	Ampulla of Vater	4	SON	non_specific	567	0.618627	6.4	-0.039
OncotreeLineage	Ampulla of Vater	4	XBP1	non_specific	478	0.616644	6.38	-0.039
OncotreeLineage	Ampulla of Vater	4	SREBF2	non_specific	251	0.609342	6.37	-0.039
OncotreeLineage	Ampulla of Vater	4	KLF6	non_specific	139	0.599642	6.33	-0.039
OncotreeLineage	Ampulla of Vater	4	STAT1	non_specific	294	0.611445	6.31	-0.039
OncotreeLineage	Ampulla of Vater	4	FOSL1	non_specific	124	0.598106	6.3	-0.039
OncotreeLineage	Ampulla of Vater	4	HMGN3	non_specific	572	0.618878	6.25	-0.039
OncotreeLineage	Ampulla of Vater	4	TFDP1	non_specific	446	0.615918	6.22	-0.039
OncotreeLineage	Ampulla of Vater	4	NFE2L2	non_specific	375	0.61405	6.2	-0.039
OncotreeLineage	Ampulla of Vater	4	RBCK1	non_specific	482	0.616675	6.18	-0.039
OncotreeLineage	Ampulla of Vater	4	TGIF1	non_specific	378	0.614187	6.15	-0.039
OncotreeLineage	Ampulla of Vater	4	BHLHE40	non_specific	136	0.599487	6.13	-0.039
OncotreeLineage	Ampulla of Vater	4	ZNF664	non_specific	356	0.613443	6.11	-0.039
OncotreeLineage	Ampulla of Vater	4	SREBF1	non_specific	418	0.615191	6.1	-0.039
OncotreeLineage	Ampulla of Vater	4	TSC22D1	non_specific	216	0.607377	6.07	-0.039
OncotreeLineage	Ampulla of Vater	4	REPIN1	non_specific	305	0.611881	6.0	-0.039
OncotreeLineage	Ampulla of Vater	4	CHCHD3	non_specific	534	0.617897	5.99	-0.039
OncotreeLineage	Ampulla of Vater	4	DNMT1	non_specific	626	0.619999	5.96	-0.039
OncotreeLineage	Ampulla of Vater	4	KLF5	non_specific	72	0.585252	5.95	-0.039
OncotreeLineage	Ampulla of Vater	4	FOS	non_specific	177	0.604101	5.91	-0.039
OncotreeLineage	Ampulla of Vater	4	STAT3	non_specific	225	0.608019	5.86	-0.039
OncotreeLineage	Ampulla of Vater	4	SP100	non_specific	126	0.598216	5.83	-0.039
OncotreeLineage	Ampulla of Vater	4	MAX	non_specific	372	0.613957	5.83	-0.039
OncotreeLineage	Ampulla of Vater	4	ZNF655	non_specific	199	0.606283	5.82	-0.039
OncotreeLineage	Ampulla of Vater	4	ZNF706	non_specific	706	0.621667	5.82	-0.039
OncotreeLineage	Ampulla of Vater	4	SMAD3	non_specific	151	0.601118	5.8	-0.039
OncotreeLineage	Ampulla of Vater	4	GLMP	non_specific	192	0.605696	5.8	-0.039
OncotreeLineage	Ampulla of Vater	4	GTF3A	non_specific	718	0.621781	5.78	-0.039
OncotreeLineage	Ampulla of Vater	4	GPBP1L1	non_specific	461	0.616343	5.77	-0.039
OncotreeLineage	Ampulla of Vater	4	SNAPC5	non_specific	376	0.614067	5.75	-0.039
OncotreeLineage	Ampulla of Vater	4	BCLAF1	non_specific	439	0.615791	5.74	-0.039
OncotreeLineage	Ampulla of Vater	4	IRF3	non_specific	560	0.618544	5.74	-0.039
OncotreeLineage	Ampulla of Vater	4	JUNB	non_specific	239	0.608618	5.71	-0.039
OncotreeLineage	Ampulla of Vater	4	RELA	non_specific	339	0.612869	5.69	-0.039
