	Adrenal Gland	Ampulla of Vater	Biliary Tract	Bladder/Urinary Tract	Bone	Bowel	Breast	CNS/Brain	Cervix	Esophagus/Stomach	Eye	Fibroblast	Head and Neck	Kidney	Liver	Lung	Lymphoid	Myeloid	Ovary/Fallopian Tube	Pancreas	Peripheral Nervous System	Pleura	Prostate	Skin	Soft Tissue	Testis	Thyroid	Uterus	Vulva/Vagina
NFYA	0.614441	0.616348	0.622329	0.617138	0.608135	0.616934	0.614847	0.616324	0.623933	0.617814	0.617973	0.621436	0.625771	0.619626	0.609776	0.610873	0.611353	0.608984	0.618515	0.617369	0.60769	0.619781	0.616796	0.616795	0.616563	0.632054	0.614211	0.616566	0.642189
ARX	0.642584	0.664691	0.643452	0.663789	0.344479	0.613842	0.559602	0.591495	0.668199	0.60752	0.676525	0.690829	0.657214	0.625869	0.652567	0.541729	0.611035	0.643935	0.628673	0.637348	0.638998	0.655189	0.590628	0.654803	0.607535	0.672244	0.682366	0.660608	0.678683
HOXA11	0.686766	0.601018	0.630305	0.591681	0.602027	0.557624	0.640617	0.636938	0.589091	0.585368	0.621222	0.592525	0.60304	0.611659	0.638336	0.612626	0.665616	0.604408	0.628749	0.612031	0.641787	0.637817	0.584345	0.620477	0.603915	0.689173	0.637663	0.593682	0.656961
MEOX1	0.678452	0.675739	0.666877	0.642875	0.583015	0.673639	0.644308	0.576614	0.635711	0.604617	0.691605	0.673455	0.610776	0.565265	0.633116	0.636921	0.647	0.667593	0.451837	0.62347	0.668812	0.668598	0.686213	0.659254	0.442175	0.693147	0.663416	0.487235	0.680655
SOX8	0.554065	0.655594	0.661372	0.681638	0.563771	0.610882	0.634423	0.628862	0.659521	0.585906	0.559845	0.652623	0.673493	0.631563	0.656577	0.649984	0.666948	0.654335	0.630924	0.635096	0.670802	0.650918	0.645914	0.521795	0.475032	0.526897	0.673977	0.612331	0.686061
ZNF195	0.61247	0.614513	0.620727	0.617809	0.614078	0.61042	0.622815	0.619837	0.62201	0.619233	0.622477	0.627685	0.624165	0.617627	0.617846	0.61365	0.610735	0.614449	0.621086	0.614664	0.606389	0.62274	0.611794	0.619392	0.616861	0.60491	0.624484	0.615388	0.631307
ZFX	0.60692	0.617827	0.623701	0.615662	0.612443	0.620129	0.618599	0.613231	0.609306	0.619212	0.61825	0.613876	0.625098	0.619222	0.612547	0.615263	0.61487	0.620138	0.616517	0.621437	0.618044	0.61058	0.617952	0.616823	0.614718	0.631193	0.618642	0.612073	0.637478
YBX2	0.582707	0.635527	0.627494	0.654177	0.606826	0.546309	0.549352	0.654445	0.598641	0.598597	0.653497	0.682507	0.628755	0.62494	0.639854	0.582987	0.651642	0.638367	0.590185	0.652527	0.663499	0.645557	0.586097	0.651752	0.651632	0.548564	0.638783	0.587209	0.630833
ZNF263	0.616391	0.618887	0.61906	0.617516	0.614965	0.615568	0.616642	0.617278	0.621426	0.617324	0.61807	0.620979	0.623239	0.61542	0.617061	0.614038	0.614056	0.61437	0.618546	0.618274	0.612282	0.612132	0.616439	0.617125	0.617951	0.617637	0.616801	0.616136	0.634638
DLX6	0.545878	0.663323	0.666625	0.611794	0.56066	0.62649	0.642168	0.627541	0.594385	0.612145	0.604688	0.670965	0.602061	0.678083	0.597166	0.57201	0.677375	0.669192	0.582826	0.647139	0.53623	0.670091	0.637893	0.618537	0.642153	0.657015	0.653202	0.544113	0.622952
ETV1	0.565324	0.624699	0.620887	0.641475	0.621087	0.638844	0.644277	0.590351	0.652061	0.631893	0.585951	0.607228	0.664147	0.629033	0.607254	0.603617	0.657635	0.656236	0.631278	0.610054	0.58493	0.646351	0.614224	0.571143	0.585367	0.577716	0.585403	0.637792	0.693147
GTF2IRD1	0.624254	0.608861	0.618205	0.617091	0.609424	0.607319	0.611279	0.613121	0.615756	0.613716	0.617524	0.626116	0.620288	0.61036	0.617468	0.61307	0.65373	0.64277	0.612879	0.617205	0.608938	0.611093	0.615837	0.624863	0.61794	0.610129	0.613047	0.611858	0.632417
PAX6	0.582327	0.594477	0.624222	0.597275	0.599167	0.621414	0.62185	0.578701	0.619265	0.621663	0.605181	0.672064	0.627594	0.607128	0.603372	0.612935	0.663547	0.635234	0.600854	0.597427	0.657113	0.594961	0.636105	0.656476	0.601272	0.672669	0.592317	0.591309	0.681112
TEAD3	0.631012	0.612308	0.6116	0.605031	0.61356	0.611322	0.600015	0.616625	0.611573	0.607752	0.613842	0.594395	0.605601	0.622632	0.608567	0.620773	0.668884	0.65689	0.615312	0.61122	0.619831	0.611373	0.607819	0.625547	0.614945	0.634474	0.621829	0.612906	0.639035
E2F2	0.590031	0.635479	0.637265	0.620096	0.590925	0.611604	0.603019	0.619428	0.608231	0.613523	0.627634	0.658048	0.633598	0.633602	0.618148	0.597617	0.566415	0.599335	0.618763	0.631149	0.601943	0.634525	0.61546	0.622531	0.609745	0.6408	0.639955	0.60513	0.652895
TFAP2B	0.693147	0.691127	0.691044	0.683174	0.435304	0.676495	0.473693	0.655177	0.684254	0.678181	0.69262	0.677428	0.681272	0.682903	0.671517	0.627102	0.673089	0.681491	0.678063	0.687523	0.315788	0.672017	0.674285	0.590974	0.515196	0.671801	0.595349	0.674944	0.693147
TFAP2D	0.693147	0.693147	0.657106	0.693147	0.660897	0.691887	0.661245	0.658865	0.693147	0.656795	0.583592	0.682497	0.680942	0.682155	0.66815	0.441303	0.676398	0.683942	0.693147	0.528751	0.34959	0.686018	0.52857	0.667902	0.689592	0.533136	0.546412	0.693147	0.693147
NFIX	0.627161	0.611062	0.625757	0.625465	0.592292	0.616189	0.615558	0.588838	0.629179	0.619948	0.607485	0.575388	0.628113	0.61229	0.61377	0.628423	0.653964	0.622983	0.619516	0.626928	0.631329	0.594002	0.600812	0.604931	0.60317	0.682487	0.606893	0.621802	0.655587
PAX7	0.686116	0.686205	0.67236	0.651303	0.286472	0.672742	0.614296	0.629336	0.608177	0.587953	0.689022	0.675002	0.637657	0.686989	0.640311	0.653845	0.688984	0.690648	0.654884	0.557807	0.590631	0.653973	0.691059	0.67471	0.495792	0.657244	0.586955	0.689666	0.689296
MLXIPL	0.599929	0.610446	0.599939	0.626493	0.615223	0.529369	0.594698	0.651518	0.610007	0.558999	0.653579	0.685152	0.626478	0.640566	0.556568	0.594202	0.685765	0.63506	0.606034	0.597352	0.665435	0.677257	0.593749	0.668932	0.648929	0.57911	0.66571	0.585826	0.665948
ETV7	0.670888	0.583066	0.595891	0.592876	0.653551	0.574159	0.617718	0.630105	0.565153	0.590123	0.675081	0.620757	0.565492	0.615379	0.64655	0.607466	0.633433	0.656371	0.630223	0.586471	0.668713	0.605527	0.5853	0.64615	0.647395	0.64657	0.631099	0.632058	0.606889
ZNF207	0.618058	0.612008	0.616624	0.615595	0.614975	0.616972	0.619733	0.615323	0.618558	0.617645	0.618727	0.618054	0.620531	0.618637	0.616985	0.615649	0.616054	0.615943	0.618433	0.616971	0.615954	0.614123	0.617415	0.616552	0.616616	0.620869	0.616838	0.617637	0.632411
ZNF200	0.609408	0.623022	0.621854	0.615599	0.614791	0.614109	0.616922	0.617377	0.615754	0.616799	0.619004	0.628804	0.622741	0.620322	0.619151	0.613323	0.612675	0.612314	0.61822	0.620599	0.612223	0.61277	0.616111	0.613314	0.614492	0.614497	0.623835	0.61194	0.639675
SCMH1	0.616147	0.622011	0.62453	0.615876	0.610547	0.621432	0.612709	0.610328	0.622333	0.620964	0.618689	0.616498	0.628277	0.615098	0.615797	0.611237	0.61091	0.613082	0.619102	0.623467	0.611194	0.616179	0.60968	0.618637	0.615144	0.625293	0.614218	0.619127	0.632869
HIVEP2	0.598139	0.597278	0.617586	0.605723	0.637429	0.628832	0.619357	0.616269	0.625787	0.620584	0.633689	0.599103	0.61562	0.618971	0.612844	0.614622	0.607618	0.632055	0.622329	0.616026	0.613998	0.613817	0.603167	0.615673	0.617921	0.654732	0.608766	0.618204	0.63397
AKAP8L	0.618439	0.618219	0.620134	0.618808	0.612047	0.619536	0.614929	0.616921	0.621759	0.618317	0.619062	0.623031	0.621095	0.620747	0.616305	0.616444	0.612502	0.611723	0.617506	0.61964	0.614357	0.617978	0.613603	0.618541	0.616075	0.613111	0.614268	0.616275	0.628635
DPF1	0.595814	0.664381	0.641911	0.616814	0.597054	0.638755	0.619566	0.591393	0.613409	0.626585	0.616545	0.612356	0.628325	0.634913	0.615936	0.590104	0.618007	0.628701	0.613099	0.635842	0.561432	0.632153	0.624642	0.614765	0.600268	0.6353	0.60582	0.60462	0.662434
WIZ	0.613872	0.612648	0.623138	0.615537	0.609809	0.618032	0.613387	0.610787	0.625173	0.618093	0.624447	0.60631	0.625085	0.614518	0.612997	0.611924	0.618424	0.616939	0.616778	0.62042	0.608432	0.61893	0.615535	0.618364	0.614292	0.631952	0.614204	0.615596	0.647938
ZBTB32	0.651941	0.641106	0.645105	0.604179	0.660076	0.602035	0.597344	0.6457	0.640645	0.599664	0.66296	0.641346	0.634497	0.621341	0.642819	0.608357	0.408601	0.604674	0.624199	0.616443	0.647112	0.629264	0.566075	0.630453	0.647765	0.688815	0.631862	0.59964	0.679685
LTF	0.693147	0.660259	0.624538	0.63051	0.612598	0.612836	0.539435	0.601228	0.676666	0.644064	0.676521	0.586134	0.64367	0.661005	0.618898	0.611802	0.608061	0.563837	0.602026	0.654374	0.642576	0.561686	0.605182	0.6162	0.572453	0.671142	0.568306	0.585012	0.685102
NR1H4	0.693147	0.689507	0.540214	0.543121	0.648559	0.603542	0.686217	0.648329	0.674747	0.631424	0.67911	0.681842	0.672923	0.387797	0.386056	0.657283	0.678251	0.689068	0.627287	0.642279	0.6392	0.599879	0.635082	0.655059	0.67874	0.690586	0.671371	0.636888	0.686497
ISL1	0.508442	0.625436	0.614744	0.647467	0.586018	0.615818	0.666772	0.66737	0.621738	0.603076	0.665298	0.671814	0.633877	0.663568	0.611295	0.576918	0.680154	0.684542	0.597398	0.593394	0.45195	0.610366	0.636508	0.630748	0.608607	0.683484	0.625131	0.625399	0.687104
ZNF582	0.591197	0.690101	0.637026	0.635262	0.584029	0.675885	0.62273	0.591799	0.677988	0.677974	0.608997	0.584484	0.67759	0.656412	0.614164	0.607728	0.617494	0.584358	0.617771	0.658547	0.585579	0.599385	0.593001	0.612251	0.598636	0.558883	0.602571	0.630396	0.60703
SNAI2	0.691467	0.640077	0.616963	0.598267	0.604077	0.670049	0.637347	0.588723	0.607762	0.626914	0.602707	0.556295	0.573405	0.612644	0.630832	0.627847	0.679757	0.685775	0.643377	0.615047	0.607326	0.617738	0.615599	0.569718	0.585452	0.655656	0.597952	0.643822	0.591582
ZFP64	0.613547	0.627505	0.623501	0.612171	0.614701	0.616811	0.617695	0.613174	0.612942	0.614	0.625971	0.617553	0.61264	0.6171	0.614727	0.610732	0.622947	0.626159	0.612517	0.622303	0.611449	0.608978	0.618813	0.617247	0.617766	0.627425	0.605096	0.614653	0.642784
RUNX3	0.548681	0.635994	0.660759	0.656459	0.555061	0.636813	0.632788	0.640957	0.602253	0.624597	0.655331	0.639924	0.616538	0.64916	0.64531	0.608893	0.533125	0.561351	0.620703	0.651757	0.65735	0.656809	0.6639	0.552142	0.622022	0.644698	0.627598	0.625252	0.581294
HSF2	0.598018	0.629455	0.623773	0.620716	0.606041	0.623427	0.622283	0.613747	0.620549	0.622288	0.616169	0.622759	0.626888	0.619669	0.61864	0.614589	0.613468	0.612265	0.620243	0.6292	0.59861	0.613529	0.619634	0.618529	0.609318	0.613611	0.614123	0.616267	0.635992
PHF20	0.617472	0.619482	0.618931	0.615605	0.615675	0.617987	0.616704	0.616646	0.613829	0.617386	0.616676	0.620139	0.619744	0.619556	0.618068	0.614818	0.617228	0.616432	0.619183	0.620187	0.614312	0.612429	0.617326	0.616463	0.61673	0.614484	0.613452	0.619024	0.634123
NR1H3	0.620139	0.599321	0.616755	0.611414	0.628103	0.603416	0.612012	0.619538	0.623243	0.603312	0.626523	0.626145	0.625258	0.621137	0.603918	0.61143	0.628579	0.613748	0.615985	0.59237	0.625193	0.627753	0.612453	0.62242	0.627218	0.621278	0.626591	0.616175	0.634607
POU2F2	0.646468	0.664426	0.632197	0.622128	0.63541	0.63664	0.650479	0.614492	0.663821	0.637643	0.655681	0.602171	0.629796	0.639473	0.616511	0.597085	0.508541	0.560496	0.634583	0.632793	0.551661	0.604191	0.615164	0.636985	0.613907	0.627336	0.577433	0.641508	0.640783
TBPL1	0.606203	0.622227	0.620011	0.61568	0.613244	0.618004	0.624449	0.613623	0.621213	0.61742	0.622669	0.614246	0.620162	0.618228	0.61521	0.614826	0.61652	0.610978	0.618163	0.623393	0.609479	0.620293	0.617859	0.619338	0.615083	0.615648	0.614598	0.617497	0.634741
ARNTL2	0.610333	0.592745	0.60402	0.598768	0.628052	0.612715	0.639414	0.611378	0.612749	0.610077	0.640198	0.609291	0.60643	0.616745	0.614181	0.604921	0.631329	0.632916	0.615249	0.6018	0.634727	0.606529	0.616811	0.642106	0.622751	0.620283	0.609162	0.618806	0.660673
BCLAF1	0.614869	0.615791	0.620021	0.615138	0.611863	0.616296	0.618614	0.61448	0.617154	0.617056	0.618479	0.614087	0.622149	0.619375	0.61484	0.614346	0.616959	0.615809	0.618034	0.618261	0.612071	0.613659	0.616528	0.61745	0.613985	0.627667	0.618364	0.615518	0.642499
IKZF2	0.555435	0.596641	0.612011	0.583986	0.593434	0.640058	0.608762	0.631077	0.631931	0.614161	0.634663	0.621573	0.598748	0.661152	0.636614	0.608777	0.562044	0.60184	0.619914	0.596228	0.643265	0.646106	0.603491	0.644162	0.638316	0.657344	0.634701	0.629534	0.651203
ZZZ3	0.611776	0.619013	0.617485	0.613752	0.610864	0.621974	0.621642	0.612698	0.614396	0.619586	0.612129	0.617302	0.622668	0.618781	0.618464	0.614865	0.621477	0.617945	0.617644	0.61992	0.614926	0.612015	0.617615	0.613745	0.616803	0.617015	0.615464	0.619255	0.639881
HOXC8	0.529111	0.615325	0.639019	0.633083	0.580607	0.648911	0.61137	0.617824	0.638444	0.628478	0.643001	0.555214	0.630505	0.591532	0.611862	0.622584	0.675858	0.67326	0.62469	0.629119	0.594098	0.597629	0.660349	0.59239	0.587183	0.688648	0.631334	0.637468	0.604786
SOX30	0.666961	0.512459	0.575457	0.645862	0.621779	0.538378	0.609666	0.647874	0.516356	0.570367	0.678903	0.649558	0.608833	0.665841	0.675716	0.592182	0.625084	0.677514	0.62789	0.613788	0.657265	0.6598	0.634028	0.650855	0.648236	0.612012	0.565151	0.641577	0.674412
THAP3	0.609895	0.626695	0.621414	0.618775	0.611019	0.622555	0.620214	0.613666	0.617089	0.618627	0.617431	0.615711	0.622995	0.617774	0.617318	0.615957	0.615318	0.614586	0.617103	0.621522	0.618889	0.619109	0.612967	0.616319	0.612848	0.616877	0.613145	0.614906	0.629681
BARX2	0.684546	0.532226	0.571428	0.604871	0.611769	0.556424	0.5516	0.681625	0.584955	0.558251	0.689209	0.687636	0.545315	0.610133	0.652805	0.596566	0.640839	0.689549	0.616997	0.550773	0.682163	0.683543	0.611808	0.655925	0.655953	0.679216	0.645812	0.639126	0.630379
ZIC2	0.582225	0.626568	0.619455	0.617844	0.568633	0.605878	0.626502	0.604911	0.613583	0.620776	0.636572	0.686991	0.615906	0.615404	0.603846	0.607614	0.642844	0.641658	0.615316	0.621018	0.62919	0.632654	0.630121	0.639785	0.617463	0.546246	0.641206	0.590192	0.658502
ZNF800	0.609379	0.614737	0.620345	0.613837	0.614809	0.612058	0.618044	0.611053	0.619794	0.618877	0.618832	0.616443	0.629304	0.616125	0.62013	0.614791	0.606328	0.613668	0.621856	0.619396	0.617094	0.61242	0.616813	0.607259	0.620164	0.641465	0.613977	0.616701	0.637392
ARID1B	0.611137	0.614427	0.627043	0.615413	0.612074	0.617721	0.61708	0.614547	0.626842	0.616605	0.618311	0.617398	0.624063	0.619167	0.612919	0.612287	0.609189	0.609162	0.619643	0.62181	0.610314	0.618541	0.619707	0.617031	0.616485	0.625387	0.616592	0.616312	0.634157
FOXP3	0.574864	0.657075	0.652838	0.640333	0.605663	0.608715	0.566558	0.625835	0.599733	0.61788	0.62132	0.638972	0.639924	0.622739	0.637483	0.596208	0.588	0.608047	0.613434	0.640727	0.612065	0.64453	0.589774	0.609852	0.621885	0.602413	0.647337	0.594614	0.675888
NFE2L3	0.609006	0.597117	0.604403	0.607578	0.632751	0.600739	0.629904	0.619001	0.631848	0.615457	0.626468	0.651753	0.620744	0.605113	0.61107	0.61473	0.627835	0.632665	0.614349	0.60088	0.628508	0.60289	0.619827	0.611268	0.627206	0.598554	0.619338	0.608479	0.654452
ALX4	0.564202	0.688879	0.666081	0.646345	0.404912	0.680332	0.614188	0.561854	0.590933	0.635438	0.667563	0.676288	0.616311	0.632181	0.594176	0.621583	0.684985	0.646675	0.638679	0.675828	0.635768	0.594304	0.634936	0.645844	0.53635	0.676681	0.615213	0.612408	0.693147
FOXN3	0.595527	0.631838	0.631685	0.620273	0.6016	0.626141	0.627269	0.608932	0.625877	0.621607	0.622192	0.601148	0.629166	0.624796	0.614341	0.618958	0.599737	0.602936	0.619715	0.635009	0.593986	0.625284	0.626354	0.627913	0.605918	0.596346	0.620256	0.623808	0.642223
FOXC1	0.615158	0.58849	0.602286	0.589112	0.639715	0.622764	0.619036	0.615707	0.603803	0.604418	0.639598	0.611132	0.604862	0.618177	0.637188	0.617154	0.666934	0.648499	0.611624	0.601737	0.611076	0.600477	0.627121	0.610161	0.613287	0.664853	0.614547	0.60489	0.63206
ZNF280C	0.574164	0.62819	0.625266	0.619101	0.604512	0.61929	0.630135	0.618396	0.622583	0.61906	0.619863	0.63721	0.630946	0.62134	0.621296	0.608227	0.610985	0.617457	0.614499	0.626589	0.602622	0.612477	0.628134	0.624063	0.613024	0.587632	0.614804	0.616968	0.654673
PRDM1	0.623393	0.537969	0.607336	0.603298	0.645551	0.594815	0.632753	0.592908	0.621177	0.589473	0.640963	0.589381	0.610289	0.670476	0.628055	0.622082	0.534619	0.628381	0.653846	0.606738	0.643139	0.655692	0.593591	0.631363	0.615725	0.663313	0.622398	0.653173	0.675713
FLYWCH1	0.61103	0.62837	0.621368	0.61765	0.617826	0.622139	0.617116	0.61251	0.62429	0.617986	0.619795	0.606694	0.619378	0.60915	0.619196	0.613784	0.613159	0.615119	0.616003	0.620166	0.621955	0.615395	0.613206	0.613343	0.618151	0.636376	0.612075	0.610081	0.628561
MXD1	0.62366	0.606262	0.608435	0.612374	0.634207	0.603958	0.614293	0.626466	0.614243	0.603327	0.63442	0.622162	0.600702	0.628235	0.621583	0.609134	0.61783	0.597975	0.624615	0.60464	0.614749	0.622501	0.599267	0.628752	0.631117	0.628	0.626497	0.627075	0.631276
YBX3	0.617791	0.613603	0.613157	0.611039	0.619088	0.615624	0.618952	0.618416	0.614429	0.614375	0.621573	0.616656	0.611656	0.614176	0.61695	0.619904	0.625522	0.617959	0.617504	0.613448	0.652565	0.613988	0.61398	0.617755	0.616322	0.609715	0.618911	0.617054	0.620969
CREB3L3	0.681922	0.536976	0.623794	0.630829	0.673687	0.592783	0.676338	0.65337	0.681053	0.555286	0.688058	0.672055	0.680199	0.630722	0.382685	0.639334	0.556282	0.638934	0.656979	0.53909	0.615079	0.669474	0.642452	0.677734	0.668069	0.562846	0.64365	0.662648	0.689746
PRDM6	0.518232	0.682484	0.647959	0.643229	0.597579	0.647897	0.577044	0.591961	0.600131	0.625817	0.658727	0.563558	0.647441	0.619739	0.582063	0.6037	0.660762	0.643472	0.59335	0.638118	0.625305	0.587945	0.649958	0.642529	0.592344	0.688976	0.649364	0.567249	0.676089
GPBP1	0.620442	0.619707	0.617136	0.618007	0.615518	0.617397	0.616426	0.617009	0.615806	0.619078	0.619211	0.624887	0.620562	0.619397	0.619537	0.616663	0.613531	0.616334	0.618694	0.615836	0.61435	0.614396	0.613565	0.619145	0.616095	0.610829	0.617959	0.617451	0.624754
ZNF112	0.610144	0.627322	0.616466	0.614149	0.598636	0.629706	0.624495	0.601082	0.615401	0.617922	0.605655	0.615109	0.629779	0.613112	0.609041	0.606912	0.684357	0.647862	0.616514	0.61657	0.592476	0.611553	0.604916	0.606306	0.604658	0.621936	0.619075	0.61972	0.652402
AHRR	0.658981	0.642236	0.640771	0.641376	0.592306	0.631783	0.623745	0.584575	0.633916	0.617807	0.602876	0.544857	0.626357	0.631044	0.607231	0.603932	0.62075	0.574844	0.639973	0.634824	0.619066	0.600388	0.639042	0.570054	0.605637	0.671518	0.605331	0.635953	0.664504
GSC2	0.625738	0.671087	0.671255	0.647099	0.6335	0.631454	0.584093	0.655031	0.617916	0.539439	0.615955	0.682755	0.607292	0.65806	0.638017	0.566531	0.62203	0.643388	0.610392	0.652125	0.633041	0.685509	0.657021	0.663203	0.610622	0.402641	0.686339	0.543587	0.693147
ZNF275	0.640036	0.626143	0.625163	0.618871	0.601093	0.613944	0.623711	0.610675	0.627849	0.618416	0.622756	0.605916	0.630876	0.615737	0.614684	0.613177	0.599666	0.611249	0.617903	0.630281	0.613985	0.608208	0.616486	0.614851	0.616541	0.609048	0.611446	0.614215	0.64327
DLX3	0.678536	0.636621	0.6301	0.61921	0.530084	0.602885	0.530998	0.637551	0.541439	0.601549	0.657701	0.615091	0.534993	0.668003	0.650313	0.584103	0.683619	0.657886	0.601797	0.640477	0.622811	0.676268	0.624481	0.653459	0.657684	0.61713	0.654497	0.574138	0.669629
DMRT3	0.485281	0.693147	0.682744	0.668879	0.57665	0.632666	0.613752	0.622449	0.646754	0.587689	0.598402	0.68411	0.603797	0.647735	0.661849	0.580475	0.636843	0.628874	0.549128	0.658487	0.636448	0.683596	0.671001	0.679954	0.634434	0.539705	0.538377	0.578809	0.693147
POU1F1	0.693147	0.636978	0.648131	0.63651	0.334826	0.568013	0.638755	0.634405	0.661604	0.646644	0.670068	0.684712	0.648077	0.64023	0.671677	0.575203	0.606087	0.612864	0.540795	0.607434	0.65559	0.650318	0.606923	0.64825	0.609063	0.693147	0.671315	0.649891	0.693147
HMG20B	0.619775	0.623912	0.621477	0.614533	0.617368	0.619402	0.608603	0.614074	0.620515	0.618335	0.618939	0.615041	0.620832	0.614042	0.61483	0.613911	0.618123	0.614278	0.615875	0.619826	0.623543	0.621072	0.615135	0.601959	0.617493	0.630595	0.613614	0.613456	0.630772
ZNF76	0.61106	0.626533	0.621361	0.616767	0.614439	0.618882	0.612711	0.6134	0.622436	0.618953	0.620022	0.618728	0.623043	0.618108	0.615392	0.609833	0.606643	0.6082	0.618415	0.617978	0.617239	0.620884	0.611408	0.61694	0.617908	0.625248	0.617121	0.615453	0.63642
SPEN	0.622823	0.615602	0.625389	0.61194	0.610963	0.614458	0.6156	0.616109	0.61939	0.614019	0.629217	0.619633	0.618667	0.618423	0.613531	0.609947	0.608847	0.607744	0.61746	0.616322	0.61672	0.618414	0.612531	0.61759	0.617825	0.628634	0.617018	0.615501	0.64209
FOXJ2	0.612265	0.618095	0.619539	0.611971	0.609701	0.615427	0.615585	0.611703	0.619099	0.617543	0.623977	0.608466	0.621839	0.616533	0.619945	0.612984	0.624123	0.619874	0.618958	0.618946	0.624513	0.609043	0.619151	0.61665	0.613937	0.620839	0.611696	0.618974	0.640417
YBX1	0.615823	0.618889	0.620027	0.616312	0.614399	0.617658	0.619402	0.616067	0.619545	0.618009	0.619919	0.616231	0.620103	0.618052	0.615696	0.615529	0.616261	0.613907	0.61595	0.618694	0.615374	0.616065	0.620819	0.616408	0.616473	0.616445	0.615734	0.616257	0.629649
NFYC	0.605464	0.621339	0.621207	0.614341	0.612554	0.620114	0.618503	0.615415	0.6156	0.617527	0.622028	0.622876	0.622292	0.619361	0.61724	0.611741	0.614415	0.6139	0.614365	0.619101	0.618848	0.620046	0.618635	0.616537	0.61591	0.613547	0.618479	0.616258	0.633008
SPI1	0.65951	0.683242	0.674247	0.669368	0.656551	0.670124	0.67272	0.665892	0.66066	0.667873	0.682613	0.678504	0.679118	0.663507	0.671263	0.663583	0.387417	0.211286	0.663427	0.678988	0.666031	0.67804	0.668011	0.660766	0.662221	0.649921	0.661247	0.659717	0.647129
ZBTB11	0.624134	0.617449	0.620053	0.614007	0.61527	0.615894	0.614655	0.615674	0.619864	0.614805	0.623005	0.618929	0.620501	0.617436	0.618985	0.610106	0.612326	0.609385	0.617897	0.614734	0.616302	0.613467	0.610209	0.614566	0.617636	0.631917	0.614175	0.618532	0.639869
MSANTD3	0.625854	0.61765	0.618384	0.612849	0.617429	0.626034	0.627021	0.605212	0.616781	0.622425	0.613955	0.605192	0.617848	0.607986	0.612697	0.613112	0.630956	0.634961	0.618806	0.620854	0.612594	0.601713	0.622879	0.609312	0.613875	0.628027	0.608081	0.615424	0.636481
ZFAT	0.624101	0.628822	0.623613	0.614174	0.612171	0.619259	0.612765	0.614535	0.616089	0.616887	0.609402	0.617529	0.620392	0.625131	0.613217	0.608749	0.597305	0.605253	0.614453	0.616158	0.622361	0.616874	0.61271	0.615712	0.618827	0.643799	0.613537	0.612689	0.649766
SP100	0.689599	0.598216	0.604354	0.607283	0.639516	0.614054	0.62559	0.610411	0.618353	0.613225	0.624037	0.597574	0.606774	0.609937	0.613881	0.624192	0.608331	0.609345	0.616314	0.605233	0.655183	0.596958	0.618308	0.605046	0.626543	0.675549	0.603579	0.619824	0.607248
KLF6	0.642803	0.599642	0.619136	0.611368	0.61752	0.61419	0.614024	0.613503	0.632554	0.613508	0.621176	0.59436	0.624647	0.60633	0.611677	0.616447	0.625372	0.632546	0.613703	0.610557	0.622712	0.6096	0.623244	0.613117	0.61401	0.630683	0.61378	0.614661	0.640183
ZFY	0.693147	0.691562	0.62989	0.608501	0.596883	0.637461	0.69043	0.576372	0.692146	0.636289	0.67139	0.576559	0.603352	0.591994	0.587721	0.602854	0.594349	0.573578	0.690265	0.663277	0.613854	0.540111	0.534379	0.57247	0.604292	0.598631	0.645946	0.677733	0.693147
CBFB	0.612968	0.614932	0.618431	0.613875	0.6116	0.614216	0.61978	0.613811	0.616012	0.616222	0.622135	0.616599	0.621996	0.619897	0.61885	0.614337	0.609174	0.614335	0.618896	0.61617	0.614732	0.617253	0.6222	0.613664	0.615172	0.629453	0.621835	0.613874	0.638984
MEF2A	0.611057	0.611884	0.619055	0.619313	0.610402	0.622978	0.623008	0.613863	0.6214	0.61852	0.610778	0.60435	0.624304	0.617994	0.619213	0.615491	0.608804	0.617207	0.618941	0.618342	0.616136	0.614174	0.620731	0.610038	0.619671	0.633568	0.618272	0.618704	0.633766
TFE3	0.617146	0.619601	0.618338	0.615994	0.612625	0.623016	0.621284	0.608875	0.619408	0.622109	0.621629	0.601757	0.623324	0.612392	0.610524	0.616102	0.625584	0.624333	0.61648	0.61905	0.62178	0.603874	0.619756	0.619881	0.616616	0.615055	0.60891	0.61626	0.641102
PITX1	0.620406	0.595943	0.602796	0.600981	0.62069	0.59632	0.590809	0.607189	0.591643	0.597786	0.665938	0.628074	0.594047	0.63517	0.606786	0.603858	0.626806	0.628045	0.619303	0.597323	0.658847	0.614309	0.59696	0.666456	0.628824	0.683144	0.609461	0.609386	0.659028
RORA	0.587234	0.614746	0.62207	0.643127	0.598969	0.609371	0.622872	0.606351	0.636372	0.629058	0.637757	0.579254	0.635441	0.625993	0.623077	0.608923	0.597797	0.646687	0.628686	0.635271	0.603414	0.647209	0.619612	0.629678	0.603607	0.584545	0.600181	0.641527	0.614808
HES2	0.657306	0.62585	0.572855	0.58351	0.669773	0.582159	0.607391	0.656233	0.562446	0.575722	0.672219	0.680577	0.509029	0.639716	0.662724	0.614729	0.679631	0.67447	0.622068	0.596773	0.685211	0.63595	0.537912	0.642088	0.651919	0.639906	0.645752	0.587684	0.587548
