	Adrenal Gland	Ampulla of Vater	Biliary Tract	Bladder/Urinary Tract	Bone	Bowel	Breast	CNS/Brain	Cervix	Esophagus/Stomach	Eye	Fibroblast	Head and Neck	Kidney	Liver	Lung	Lymphoid	Myeloid	Ovary/Fallopian Tube	Pancreas	Peripheral Nervous System	Pleura	Prostate	Skin	Soft Tissue	Testis	Thyroid	Uterus	Vulva/Vagina
ZNF395	0.615361	0.617397	0.621164	0.615188	0.609789	0.616926	0.621538	0.613433	0.632827	0.614863	0.622137	0.623202	0.620767	0.601278	0.614493	0.612854	0.616086	0.610385	0.615324	0.619935	0.609615	0.619665	0.620117	0.618415	0.615028	0.630732	0.613246	0.613666	0.637224
PPARA	0.633143	0.602787	0.623015	0.615745	0.612257	0.603257	0.626546	0.612428	0.621553	0.611194	0.620306	0.602784	0.62762	0.61671	0.606251	0.615378	0.61678	0.612397	0.621135	0.616457	0.623365	0.626824	0.624709	0.609519	0.617585	0.642108	0.607155	0.614774	0.631513
TEAD1	0.611753	0.610516	0.615661	0.610805	0.610365	0.619618	0.628553	0.606315	0.612224	0.620795	0.613469	0.596065	0.624233	0.61189	0.612496	0.607353	0.670054	0.676817	0.613559	0.617535	0.605604	0.600999	0.621898	0.606833	0.612425	0.630352	0.609941	0.612202	0.64185
MITF	0.658472	0.60868	0.606678	0.614439	0.632782	0.64903	0.633603	0.610833	0.607391	0.635397	0.550945	0.613768	0.629308	0.593395	0.61223	0.62196	0.664676	0.641153	0.613837	0.622358	0.636474	0.604235	0.640017	0.543469	0.634495	0.671529	0.624869	0.611457	0.578288
FOXD3	0.455735	0.679287	0.669774	0.663651	0.550644	0.669237	0.644592	0.630774	0.581221	0.641345	0.624693	0.683147	0.644477	0.680825	0.663279	0.587071	0.662879	0.67782	0.632273	0.661304	0.655037	0.670758	0.629055	0.457054	0.641239	0.533445	0.658052	0.623446	0.591229
ZNF546	0.600691	0.646982	0.62919	0.637873	0.597307	0.644467	0.627763	0.603221	0.631822	0.631394	0.606612	0.615671	0.65689	0.613177	0.610973	0.61043	0.597093	0.588441	0.612521	0.625902	0.596496	0.600325	0.61413	0.611701	0.602976	0.643884	0.625053	0.61343	0.634162
FOXD4L3	0.693147	0.657134	0.642974	0.619452	0.604873	0.599383	0.59602	0.602181	0.627303	0.60935	0.657271	0.665293	0.626413	0.62137	0.62637	0.590905	0.587786	0.601201	0.62433	0.587718	0.609055	0.642932	0.543518	0.636772	0.582116	0.667342	0.639293	0.55974	0.672656
ZNF385C	0.593375	0.609646	0.607811	0.631848	0.640941	0.609116	0.591831	0.655254	0.61301	0.595313	0.626289	0.686093	0.611395	0.638161	0.614182	0.600734	0.620086	0.604918	0.619991	0.611395	0.625903	0.662959	0.607172	0.643161	0.629432	0.536961	0.644725	0.617594	0.610525
TET3	0.617231	0.62251	0.624427	0.606578	0.613581	0.607569	0.609966	0.620093	0.623036	0.609041	0.629592	0.642683	0.623221	0.622957	0.609311	0.602428	0.604715	0.596405	0.616888	0.61728	0.603245	0.622378	0.609913	0.624111	0.620217	0.628609	0.628995	0.603912	0.660172
ZNF286A	0.613801	0.633225	0.623542	0.615325	0.606182	0.623001	0.621784	0.610009	0.61711	0.619723	0.619544	0.621833	0.619105	0.620353	0.615997	0.613727	0.623127	0.632	0.618557	0.625738	0.600283	0.614692	0.621184	0.619799	0.606607	0.598819	0.614754	0.611772	0.632224
ZKSCAN4	0.635003	0.631346	0.625079	0.621924	0.606911	0.62698	0.620249	0.611982	0.615537	0.627052	0.607222	0.622668	0.627565	0.623412	0.619439	0.613642	0.604605	0.593164	0.618145	0.625218	0.597438	0.620807	0.612223	0.612004	0.611453	0.61788	0.617672	0.615389	0.633846
LIN28B	0.437667	0.692499	0.646726	0.64452	0.599376	0.677114	0.677929	0.637081	0.652345	0.654527	0.619742	0.689662	0.676739	0.669442	0.537845	0.62681	0.61786	0.586322	0.625563	0.670897	0.52104	0.688225	0.672353	0.621801	0.62541	0.472677	0.646426	0.616817	0.693147
ZNF70	0.608818	0.62994	0.633177	0.622772	0.593338	0.630284	0.622371	0.606082	0.627308	0.627244	0.608586	0.613675	0.637946	0.620567	0.613606	0.612263	0.603043	0.593603	0.620757	0.636881	0.587451	0.626854	0.628626	0.602861	0.618837	0.637928	0.611333	0.613762	0.6321
ZFP69B	0.554759	0.654495	0.635063	0.616163	0.587318	0.633362	0.623667	0.608487	0.61949	0.63273	0.626813	0.617339	0.638461	0.628201	0.61726	0.600014	0.61143	0.630891	0.617572	0.639333	0.592276	0.637579	0.613086	0.625927	0.607797	0.598041	0.603381	0.62021	0.645322
ZFP69	0.587581	0.626153	0.627212	0.612494	0.599329	0.624566	0.620028	0.632484	0.608676	0.623132	0.625518	0.624411	0.624414	0.626843	0.624062	0.606453	0.61211	0.610826	0.619488	0.622453	0.603257	0.622275	0.624468	0.620954	0.610451	0.598972	0.622255	0.632675	0.623471
